bodyId_pre,bodyId_post,instance_pre,instance_post,type_pre,type_post,weight
1812696567,1880555046,LC17,NA,LC17,NA,2
1812696567,2029624973,LC17,LC17,LC17,LC17,5
1812696567,5812988086,LC17,LC17,LC17,LC17,4
1812696567,5812993994,LC17,LC17,LC17,LC17,2
1812696567,5813017315,LC17,AVLP479_R,LC17,AVLP479,5
1812696567,5813034336,LC17,LC17(lVLPT4)_R,LC17,LC17,3
1812696567,5813039148,LC17,PVLP011_R,LC17,PVLP011,43
1812696567,5813039410,LC17,LC17,LC17,LC17,2
1812696567,5813057579,LC17,AVLP538_R,LC17,AVLP538,14
1812696567,5813068239,LC17,LC17,LC17,LC17,3
1812696567,5813076492,LC17,LC17,LC17,LC17,4
1812696567,5813077633,LC17,AVLP479_R,LC17,AVLP479,9
1812696567,5813080260,LC17,AVLP153_R,LC17,AVLP153,6
1813028777,447228814,LC17,PVLP106_R,LC17,PVLP106,23
1813028777,1068885266,LC17,PVLP151(SCB004)_R,LC17,PVLP151,6
1813028777,1221285175,LC17,LC17,LC17,LC17,3
1813028777,1313702895,LC17,LC17,LC17,LC17,2
1813028777,1321305370,LC17,PVLP061_R,LC17,PVLP061,56
1813028777,1347812305,LC17,LC17(lVLPT7)_R,LC17,LC17,3
1813028777,1348153557,LC17,LC17,LC17,LC17,3
1813028777,1354394414,LC17,PVLP120_R,LC17,PVLP120,11
1813028777,1374063129,LC17,PVLP132_R,LC17,PVLP132,3
1813028777,1381997776,LC17,PVLP071_R,LC17,PVLP071,2
1813028777,1382308349,LC17,PVLP071_R,LC17,PVLP071,3
1813028777,1435791739,LC17,PVLP132_R,LC17,PVLP132,7
1813028777,1449486007,LC17,AVLP537_R,LC17,AVLP537,5
1813028777,1471610338,LC17,LC17,LC17,LC17,2
1813028777,1479147574,LC17,PVLP072_R,LC17,PVLP072,7
1813028777,1479492693,LC17,PVLP072_R,LC17,PVLP072,5
1813028777,1497200791,LC17,LC17,LC17,LC17,2
1813028777,1508123633,LC17,PVLP018_R,LC17,PVLP018,5
1813028777,1535082316,LC17,PVLP135_R,LC17,PVLP135,11
1813028777,1535086505,LC17,PVLP135_R,LC17,PVLP135,17
1813028777,1539496112,LC17,PVLP073_R,LC17,PVLP073,2
